Sr,Job Title,Company Name,Experience,Salary,Location,Education,Department,Industry IT,Key Skills,Job Url
196,Edge AI Deep Learning Validation Engineer,Intel Technology India Pvt Ltd,3 to 5 Yrs,Not Available,Bangalore,Graduation,General / Other Software,IT - Software,"validation,debugging,test cases,customer relations,end to end solutions,internet of things",https://www.shine.com/jobs/edge-ai-deep-learning-validation-engineer/intel-technology-india-pvt-ltd/11512013/
197,Power System Engineer,Seekout Online Hiring For EPCM Company,6 to 11 Yrs,Not Available,Vadodara,Not Available,Engineering Design / Construction,Engineering / Construction,"protective relays,protection system,electrical design,single line diagrams,etap,power system studies",https://www.shine.com/jobs/power-system-engineer-permanent/seekout-online/11746255/
198,Senior Engineer Structures - Buildings,Ramboll India,7 Yrs,Not Available,Mumbai City,Graduation,Sales / BD,Pharma / Biotech,"soil,civil engineering,troubleshooting,urban design,civil,project managers",https://www.shine.com/jobs/senior-engineer-structures-buildings/ramboll-india/11460919/
199,Graduate Intern,Intel Technology India Pvt Ltd,2 to 4 Yrs,Not Available,Bangalore,Graduation,IT Operations / EDP / MIS,IT - Software,"research,matlab,c,perl,autocad,internet of things",https://www.shine.com/jobs/graduate-intern/intel-technology-india-pvt-ltd/11449431/
200,Manager - Market Research - Consulting/KPO,Cairn Martin,7 to 10 Yrs,Not Available,Gurugram,Graduation,Market Research (MR),Banking / Financial Services,"land use,energy storage,fuel cells,solar power,natural gas,data analysis",https://www.shine.com/jobs/manager-market-research-consultingkpo-permanent/cairn-martin/11558569/
201,Technical Lead,Michael Page,5 to 12 Yrs,Not Available,Gurugram,Graduation,Technical Support / Helpdesk,Recruitment Services,"java,environment,sql server,sql,power supply,high voltage",https://www.shine.com/jobs/technical-lead/michael-page/11546604/
202,General Manager - Corporate Communications,Michael Page,3 to 20 Yrs,Not Available,Gurugram,Graduation,Operations Management / Process Analysis,Recruitment Services,"multiple projects simultaneously,media relations,press briefings,renewable energy,equipment supply,written communication",https://www.shine.com/jobs/general-manager-corporate-communications/michael-page/11545977/
203,Corporate Communications Lead - Renewables (15-20 yrs),Michael Page,3 to 20 Yrs,Not Available,Gurugram,Graduation,Marketing / Communication,Recruitment Services,"multiple projects simultaneously,media relations,press briefings,renewable energy,equipment supply,written communication",https://www.shine.com/jobs/corporate-communications-lead-renewables-yrs/michael-page/11545708/
204,Senior Manager - Strategy/Business Development - Renewable Energy Firm,Michael Page,5 to 15 Yrs,Not Available,Delhi,Graduation,Sales / BD,Recruitment Services,"finance,new projects,renewable energy,equipment supply,business planning,market development",https://www.shine.com/jobs/senior-manager-strategybusiness-development-renewable-energy-firm/michael-page/11545228/
205,Technical Lead - Battery Storage Solutions - Renewable Energy Firm,Michael Page,5 to 9 Yrs,Not Available,Gurugram,Graduation,General / Other Software,Recruitment Services,"java,environment,sql server,sql,customer relations,supply chain management",https://www.shine.com/jobs/technical-lead-battery-storage-solutions-renewable-energy-firm/michael-page/11545169/
