Sr,Job Title,Company Name,Experience,Salary,Location,Education,Department,Industry IT,Key Skills,Job Url
121,Energy engineer,M/S V V R INFRASTRUCTURE,1 to 6 Yrs,Rs 4.0  - 9 Lakh/Yr,Bangalore,Not Available,Oil & Gas Engineering,Oil & Gas / Petroleum,"service work,electrical maintenance,energy,oil,electrical repairs,gas",https://www.shine.com/jobs/energy-engineer-permanent/ms-v-v-r-infrastructure/11839623/
122,Web Developer PHP,Winds Online Pvt. Ltd,0 to 2 Yrs,Not Available,Other Kerala,Graduation,General / Other Software,IT - Software,"css,html,javascript,jquery,mysql,software development",https://www.shine.com/jobs/web-developer-php/winds-online-pvt-ltd/10337441/
123,MARKETING ENGINEER,SB Wind Energy,2 to 7 Yrs,Not Available,Chennai,Graduation,Sales / BD,Oil & Gas / Petroleum,"marketing,sales,business development,customer relations,negotiation,communication skills",https://www.shine.com/jobs/marketing-engineer/sb-wind-energy/10306484/
124,"Senior Systems Engineer, Bangalore",Talent Leads HR Solutions Pvt Ltd,12 to 15 Yrs,Rs 30  - 34 Lakh/Yr,Bangalore,Graduation,Sales / BD,Consumer Durables / Electronics,"effective communication skills,systems design,risk management,conceptual design,product development,communication skills",https://www.shine.com/jobs/senior-systems-engineer-bangalore-permanent/talent-leads-hr-solutions-pvt-ltd/11795619/
125,Lead Mechanical Design Engineer,Cyient Limited,6 to 9 Yrs,Not Available,Hyderabad,Graduation,General / Other Software,IT - Software,"cad,failure modes,drawing,indoor air quality,drafting,modeling",https://www.shine.com/jobs/lead-mechanical-design-engineer-permanent/cyient-limited/11818869/
126,External Communications Manager - Renewable Energy (5-8 yrs),PageGroup,3 to 8 Yrs,Not Available,Gurugram,Graduation,Sales / BD,Recruitment Services,"social media,data analysis,climate change,press releases,media relations,public relations",https://www.shine.com/jobs/external-communications-manager-renewable-energy-5-8-yrs-permanent/pagegroup/11836411/
127,Branding Manager - Renewable Energy (5-8 yrs),PageGroup,3 to 8 Yrs,Not Available,Gurugram,Graduation,Marketing / Communication,Recruitment Services,"market research,brand campaigns,creative briefs,renewable energy,equipment supply,mass communication",https://www.shine.com/jobs/branding-manager-renewable-energy-5-8-yrs-permanent/pagegroup/11836405/
128,Lead Engineer Vehicle to Grid Charging,Eaton Technologies Pvt Ltd,3 to 5 Yrs,Not Available,Pune,Graduation,Sales / BD,Engineering / Construction,"java,c,customer relations,linux,automation,power systems",https://www.shine.com/jobs/lead-engineer-vehicle-to-grid-charging-permanent/eaton-technologies-pvt-ltd/11835941/
129,Principle Consultant Citrix Support (SME),Genpact India Pvt. Ltd.,8 to 13 Yrs,Not Available,Hyderabad,Graduation,General / Other Software,IT - Software,"cisco ucs,customer focus,access gateway,problem solving,active directory,computer science",https://www.shine.com/jobs/principle-consultant-citrix-support-sme-permanent/genpact-india-pvt-ltd/11622779/
130,Telecom Mount Designer,M/S DIN Engineering Services LLP,2 to 6 Yrs,Not Available,Ghaziabad,Graduation,General / Other Software,IT - Software,"autocad 2d,site layout,site specific,equipment list,detail drawings,structural analysis",https://www.shine.com/jobs/telecom-mount-designer-permanent/ms-din-engineering-services-llp/11814068/
131,Lead Engineer - Blades Assembly,Vestas,20 to > 25 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"linux,c,six sigma,java,customer relations,automation",https://www.shine.com/jobs/lead-engineer-blades-assembly-permanent/vestas/11793716/
132,External Communications Manager - Renewable Energy,Michael Page,3 to 8 Yrs,Not Available,Gurugram,Graduation,Sales / BD,Recruitment Services,"social media,data analysis,climate change,press releases,english writing,media relations",https://www.shine.com/jobs/external-communications-manager-renewable-energy-permanent/michael-page/11834028/
133,Branding Manager - Renewable Energy (5-8 yrs),Michael Page,3 to 8 Yrs,Not Available,Gurugram,Graduation,Sales / BD,Recruitment Services,"market research,brand campaigns,creative briefs,renewable energy,equipment supply,mass communication",https://www.shine.com/jobs/branding-manager-renewable-energy-5-8-yrs-permanent/michael-page/11834027/
134,project erp planner,Randstad,3 Yrs,Not Available,Chennai,Graduation,ERP / CRM,Recruitment Services,"continuous improvement facilitation,sap ps,work orders,ps,wf,sap",https://www.shine.com/jobs/project-erp-planner-permanent/randstad/11810178/
135,MWC Engineering Continuous Improvement Leader,Talent Leads HR Solutions Pvt Ltd,12 to 15 Yrs,Rs 30  - 34 Lakh/Yr,Bangalore,Graduation,Sales / BD,Consumer Durables / Electronics,"master black belt,six sigma,black belt,mail sorting,standard work,product launch",https://www.shine.com/jobs/mwc-engineering-continuous-improvement-leader-permanent/talent-leads-hr-solutions-pvt-ltd/11795618/
136,Dot Net Developers,Invitra Technologies Private Limited,2 to 5 Yrs,Not Available,Pune,Graduation,General / Other Software,IT - Software,"sql server,net,jquery,javascript,html,project administration",https://www.shine.com/jobs/dot-net-developers/invitra-technologies-private-limited/10303643/
137,Technical Lead J2ee technology,Worldsoft Technologies,2 to 5 Yrs,Not Available,Bhopal,Graduation,General / Other Software,IT - Software,"java,environment,sql server,sql,customer relations,remote desktop",https://www.shine.com/jobs/technical-lead-j2ee-technology/worldsoft-technologies/10182898/
138,Commvault Escalation Engineer,Hewlett-Packard India Pvt Ltd,2 to 4 Yrs,Not Available,Bangalore,Graduation,General / Other Software,IT - Software,"high pressure,active directory,file system,troubleshooting,technical support,it services",https://www.shine.com/jobs/commvault-escalation-engineer-permanent/hewlett-packard-india-pvt-ltd/11829480/
139,Assistant Lead Engineer - Mechanical,Vestas,6 to 9 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"actuators,interactive creative direction,alarm system,agile,continuous improvement facilitation,optimization",https://www.shine.com/jobs/assistant-lead-engineer-mechanical-permanent/vestas/11778776/
140,Assistant Lead Engineer - Blades Tooling Design,Vestas,10 to 14 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"optimization,actuators,agile,alarm system,bom,six sigma green belt",https://www.shine.com/jobs/assistant-lead-engineer-blades-tooling-design-permanent/vestas/11769825/
141,Design Engineer,Samford HR Consultants,4 to 9 Yrs,Rs 3.5  - 7 Lakh/Yr,Other Gujarat,Not Available,Engineering Design / Construction,Manufacturing,"autocad,solid works,pv elite",https://www.shine.com/jobs/design-engineer-permanent/samford-hr-consultants/11824054/
142,Design Engineer - Hydraulics,Bosch Group,3 to 5 Yrs,Not Available,Bangalore,Graduation,Sales / BD,Manufacturing,"drawing,autocad,drafting,modeling,cad,continuous improvement facilitation",https://www.shine.com/jobs/design-engineer-hydraulics-permanent/bosch-group/11823965/
143,Technical Writer,Vestas,5 to 10 Yrs,Not Available,Chennai,Graduation,Sales / BD,Manufacturing,"documentation,continuous improvement facilitation,customer relations,content management,interactive creative direction,microsoft word",https://www.shine.com/jobs/technical-writer-permanent/vestas/11767177/
144,Manufacturing Engineering,Sai Placement,6 to 10 Yrs,Not Available,Chennai,Graduation,General / Other Software,Recruitment Services,"kaizen,lean manufacturing,safety,inspection,machining,continuous improvement facilitation",https://www.shine.com/jobs/manufacturing-engineering-permanent/sai-placement/11790282/
145,UG NX Design Engineer,Cyient Limited,4 to 8 Yrs,Not Available,Bangalore,Graduation,General / Other Software,IT - Software,"drafting,modeling,drawing,siemens nx,advanced analytics,international standards",https://www.shine.com/jobs/ug-nx-design-engineer-permanent/cyient-limited/11788638/
146,Team Manager - Cost Optimization ( 67441859 ),Reliance Industries Ltd.,4 to 9 Yrs,Not Available,Navi Mumbai,Graduation,Finance / Accounts / Tax,Manufacturing,"sla,customer relations,coaching,customer service,sales,power plants",https://www.shine.com/jobs/team-manager-cost-optimization-permanent/reliance-industries-ltd/11819011/
147,fea manager,Randstad,3 to 12 Yrs,Not Available,Bangalore,Graduation,Operations Management / Process Analysis,Recruitment Services,"music making,structural design,mechanical engineering,structural calculations,fea,steel",https://www.shine.com/jobs/fea-manager-permanent/randstad/11777366/
148,System Monitoring Tools & Techniques IT Operations Practitioner,Accenture,2 to 4 Yrs,Not Available,Bangalore,Graduation,General / Other Software,IT - Software,"monitoring tools,production systems,communication skills,interpersonal skills,professional services,written communication",https://www.shine.com/jobs/system-monitoring-tools-techniques-it-operations-practitioner-permanent/accenture/11749775/
149,product master data engineer,Randstad,3 to 7 Yrs,Not Available,Bangalore,Graduation,General / Other Software,Recruitment Services,"sql,java,data warehousing,informatica,python,product data management",https://www.shine.com/jobs/product-master-data-engineer-permanent/randstad/11773723/
150,Portfolio Analyst,Vestas,3 to 5 Yrs,Not Available,Chennai,Graduation,Operations Management / Process Analysis,Manufacturing,"trading,due diligence,performance analysis,reporting,research,interactive creative direction",https://www.shine.com/jobs/portfolio-analyst-permanent/vestas/11746261/
151,Electrical Engineer,Seekout Online Hiring For EPC Company,8 to 10 Yrs,Not Available,Vadodara,Graduation,Engineering Design / Construction,Engineering / Construction,"short circuit,power system studies,etap,switchgear,protection system,electrical engineering",https://www.shine.com/jobs/electrical-engineer-permanent/seekout-online/11807513/
152,Power System Engineer,Seekout Online Hiring For EPCM Company,6 to 11 Yrs,Not Available,Vadodara,Not Available,Engineering Design / Construction,Engineering / Construction,"protective relays,protection system,electrical engineering,relays,power system,short circuit",https://www.shine.com/jobs/power-system-engineer-permanent/seekout-online/11807283/
153,Sr.Engineer Hardware Design,Triphase Technologies Private Limited,3 to 8 Yrs,Rs 3.5  - 12 Lakh/Yr,Bangalore,Graduation,R&D / Product Design,Manufacturing,"bldc,converter,electronics,supply,design,critical power",https://www.shine.com/jobs/srengineer-hardware-design-permanent/triphase-technologies-private-limited/11802460/
154,Assistant Lead Engineer,Vestas,6 to 8 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"optimization,actuators,agile,alarm system,bom,sales order",https://www.shine.com/jobs/assistant-lead-engineer-permanent/vestas/11736421/
155,"Manager - Legal, Bangalore",Talent Leads HR Solutions Pvt Ltd,5 to 10 Yrs,Rs 10  - 12 Lakh/Yr,Bangalore,Graduation,General / Other Software,Consumer Durables / Electronics,"legal issues,due diligence,power projects,project finance,renewable energy,project delivery",https://www.shine.com/jobs/manager-legal-bangalore-permanent/talent-leads-hr-solutions-pvt-ltd/11755345/
156,Product Design Engineer,Cyient Limited,3 to 5 Yrs,Not Available,Hyderabad,Graduation,Engineering Design / Construction,IT - Software,"cad,product development,detail design,drafting,modeling,plastic design",https://www.shine.com/jobs/product-design-engineer-permanent/cyient-limited/11754400/
157,Senior Systems Engineer,Cyient Limited,3 to 8 Yrs,[Not Mentioned],Bangalore,Graduation,General / Other Software,IT - Software,"steady state,failure analysis,digital circuit design,power electronics,circuit design,power electronics design",https://www.shine.com/jobs/senior-systems-engineer-permanent/cyient-limited/11752419/
158,Manager - Product Management - Automobile,Genetic Callnet,4 to 6 Yrs,Not Available,Mumbai City,Graduation,Operations Management / Process Analysis,Recruitment Services,"subject matter expertise,business case,market analysis,product testing,launch products,customer service",https://www.shine.com/jobs/manager-product-management-automobile-permanent/genetic-callnet/11795839/
159,Assistant Lead Parts Engineer,Vestas,2 to 4 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"sap ecc,3d cad,sap mm,service center operations,product lifecycle management,data sheets",https://www.shine.com/jobs/assistant-lead-parts-engineer-permanent/vestas/11715832/
160,Technical Architect,Seygnux Solutions Private Limited,5 to 10 Yrs,Rs 12  - 24 Lakh/Yr,Delhi,Not Available,General / Other Software,Power / Energy,"software development,software engineering,software design",https://www.shine.com/jobs/technical-architect-permanent/seygnux-solutions-private-limited/11795106/
161,System Engineer,Cyient Limited,5 to 10 Yrs,Not Available,Bangalore,Graduation,General / Other Software,IT - Software,"sql,steady state,troubleshooting,failure analysis,new product development,customer relations",https://www.shine.com/jobs/system-engineer-permanent/cyient-limited/11750112/
162,Business Process Specialist,Vestas,3 to 5 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"accountancy,accruals,budgeting,documentation,microsoft excel,business process management",https://www.shine.com/jobs/business-process-specialist-permanent/vestas/11794166/
163,Design Engineer- Industrial Structures and Machineries,Bosch Group,4 Yrs,Not Available,Bangalore,Graduation,General / Other Software,Manufacturing,"drawing,autocad,drafting,modeling,cad,continuous improvement facilitation",https://www.shine.com/jobs/design-engineer-industrial-structures-and-machineries-permanent/bosch-group/11791774/
